id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste
500034,Company_5,2022-11-23,2023-03-21,2023-06-24,4160,2390,1770
500035,Company_5,2021-10-26,2021-12-08,2022-05-13,19734,10282,9452
500036,Company_5,2023-10-25,2023-11-17,2024-05-27,20053,9242,10811
500037,Company_5,2023-06-03,2023-09-30,2023-12-16,21271,12965,8306
500038,Company_5,2022-12-31,2023-04-14,2023-07-06,24923,12544,12379
500039,Company_5,2022-07-22,2022-09-03,2022-12-21,23980,22924,1056
500040,Company_5,2022-08-10,2022-10-12,2023-03-04,24091,21840,2251
500041,Company_5,2020-10-31,2020-11-17,2021-04-21,22572,1345,21227
500042,Company_5,2022-04-29,2022-07-19,2022-10-12,5141,4833,308
500043,Company_5,2020-12-19,2021-04-10,2021-05-12,3247,548,2699
500044,Company_5,2020-05-06,2020-08-30,2020-12-27,20754,10729,10025
500045,Company_6,2020-03-11,2020-05-27,2020-06-18,12187,11389,798
500046,Company_6,2022-01-26,2022-02-10,2022-03-13,14091,13129,962
500047,Company_6,2022-10-23,2023-02-12,2023-02-28,1946,1043,903
500048,Company_6,2022-08-25,2022-12-05,2023-05-08,8675,173,8502
500049,Company_6,2020-12-12,2021-01-10,2021-07-24,5270,3300,1970
500050,Company_6,2020-03-22,2020-04-24,2020-05-14,13532,10342,3190
500051,Company_6,2020-06-21,2020-08-21,2020-09-03,7868,4388,3480
500052,Company_6,2020-11-10,2021-02-21,2021-05-12,15509,8029,7480
500053,Company_6,2020-10-06,2020-10-25,2021-03-30,7084,1855,5229
500054,Company_6,2021-12-18,2022-02-14,2022-07-06,6882,5519,1363
500055,Company_6,2022-07-12,2022-09-13,2023-01-04,13829,827,13002
500056,Company_6,2022-11-23,2023-01-23,2023-08-07,7628,2224,5404
500057,Company_6,2022-07-20,2022-08-06,2022-10-23,1344,640,704
500058,Company_6,2020-03-14,2020-04-17,2020-08-04,21474,7209,14265
500059,Company_6,2020-03-13,2020-05-10,2020-07-31,4095,2241,1854
500060,Company_6,2023-02-08,2023-05-26,2023-07-29,7700,3163,4537
500061,Company_7,2023-10-23,2023-12-09,2024-03-10,9124,7929,1195
500062,Company_7,2020-02-07,2020-04-25,2020-09-02,5975,5302,673
500063,Company_7,2021-08-21,2021-11-04,2022-04-27,16561,14394,2167
500064,Company_8,2021-09-04,2021-09-30,2022-03-08,15684,14814,870
500065,Company_8,2020-05-25,2020-07-11,2020-11-09,7491,3714,3777
500066,Company_8,2021-03-15,2021-06-11,2021-06-29,8757,3150,5607
500067,Company_8,2022-12-30,2023-03-02,2023-08-24,11852,5803,6049
500068,Company_8,2022-09-04,2022-11-10,2022-12-31,15792,2115,13677
500069,Company_8,2023-10-21,2024-02-14,2024-08-21,3576,3404,172
500070,Company_8,2020-09-02,2020-11-27,2020-12-28,24328,10770,13558
500071,Company_8,2021-06-26,2021-09-10,2022-01-28,3194,177,3017
500072,Company_8,2022-01-21,2022-04-05,2022-09-15,13006,10361,2645
500073,Company_8,2022-06-12,2022-09-04,2023-03-02,803,399,404
500074,Company_8,2023-09-20,2023-11-26,2024-02-07,2560,1899,661
500075,Company_8,2020-11-28,2021-03-24,2021-09-03,20260,13713,6547
500076,Company_8,2020-06-30,2020-09-11,2021-03-20,7830,1877,5953
500077,Company_9,2021-04-10,2021-06-05,2021-08-24,18393,16354,2039
500078,Company_9,2023-10-30,2024-01-28,2024-07-17,7704,3698,4006
500079,Company_9,2021-04-14,2021-08-10,2021-12-07,9260,3802,5458
500080,Company_9,2021-08-12,2021-08-26,2022-02-13,20715,13843,6872
500081,Company_10,2020-10-01,2021-01-28,2021-05-12,22314,17018,5296
500082,Company_10,2022-04-08,2022-05-13,2022-06-21,13231,6265,6966
500083,Company_10,2022-03-06,2022-06-15,2022-08-05,23688,383,23305
500084,Company_10,2023-08-21,2023-10-31,2024-04-29,2711,247,2464
500085,Company_10,2023-10-10,2023-12-30,2024-03-07,24260,4339,19921
500086,Company_11,2023-04-29,2023-07-15,2023-12-11,24333,14940,9393
500087,Company_11,2020-06-11,2020-06-23,2020-07-13,24087,1021,23066
500088,Company_11,2023-12-18,2023-12-28,2024-01-11,17815,7132,10683
500089,Company_11,2020-06-27,2020-09-03,2021-03-16,16580,5357,11223
500090,Company_11,2021-11-05,2022-02-14,2022-07-20,12688,11253,1435
500091,Company_11,2020-01-26,2020-04-07,2020-10-16,4490,772,3718
500092,Company_11,2023-09-19,2023-10-24,2024-02-20,18876,6950,11926
500093,Company_11,2020-02-09,2020-05-09,2020-05-15,11704,3210,8494
500094,Company_11,2020-07-15,2020-07-28,2020-08-18,4181,3346,835
500095,Company_11,2020-01-24,2020-04-12,2020-10-10,1367,1087,280
500096,Company_12,2022-04-16,2022-07-03,2022-12-23,3621,2700,921
500097,Company_12,2024-01-26,2024-03-22,2024-08-20,4038,68,3970
500098,Company_12,2022-11-15,2023-03-05,2023-05-12,24375,3113,21262
500099,Company_12,2022-03-08,2022-06-22,2022-11-06,13840,5839,8001
500100,Company_12,2023-01-30,2023-03-14,2023-03-23,6779,1475,5304
500101,Company_12,2022-03-15,2022-03-30,2022-10-09,1974,718,1256
500102,Company_12,2021-01-23,2021-02-14,2021-04-09,12627,2255,10372
500103,Company_12,2023-12-24,2024-02-02,2024-06-07,21629,1796,19833
500104,Company_12,2022-03-21,2022-04-15,2022-06-24,13287,271,13016
500105,Company_12,2023-01-26,2023-04-18,2023-04-27,20002,513,19489
500106,Company_12,2020-11-22,2021-01-15,2021-02-20,12030,6303,5727
500107,Company_12,2021-10-26,2021-11-07,2022-05-14,13216,7293,5923
500108,Company_12,2021-01-29,2021-05-03,2021-08-16,14056,2520,11536
500109,Company_12,2023-09-27,2023-11-13,2024-03-13,17507,8934,8573
500110,Company_12,2023-06-19,2023-09-14,2024-03-24,21644,9363,12281
500111,Company_12,2023-11-04,2023-12-31,2024-03-20,5182,2743,2439
500112,Company_12,2024-01-04,2024-01-30,2024-04-16,17194,2397,14797
500113,Company_12,2023-05-25,2023-09-01,2024-02-03,20252,7259,12993
500114,Company_12,2022-06-06,2022-09-01,2023-02-24,19454,19118,336
500115,Company_13,2023-02-16,2023-05-09,2023-09-18,4067,340,3727
500116,Company_13,2021-01-28,2021-03-19,2021-08-16,23505,8671,14834
500117,Company_13,2023-01-08,2023-03-13,2023-08-26,8754,7588,1166
500118,Company_13,2020-06-11,2020-09-24,2021-03-24,9267,1448,7819
500119,Company_13,2021-01-18,2021-02-23,2021-08-08,17110,10803,6307
500120,Company_13,2023-05-21,2023-07-30,2023-08-03,10504,7331,3173
500121,Company_14,2021-02-18,2021-04-18,2021-06-11,19609,3009,16600
500122,Company_14,2023-02-08,2023-05-26,2023-10-03,15167,10528,4639
500123,Company_14,2022-12-24,2023-04-08,2023-06-22,20403,5990,14413
500124,Company_14,2024-01-16,2024-05-07,2024-08-09,15056,7038,8018
500125,Company_14,2023-08-02,2023-11-12,2024-04-25,7183,1981,5202
500126,Company_15,2021-06-12,2021-08-12,2022-01-29,4414,2298,2116
500127,Company_15,2023-06-18,2023-08-06,2023-08-19,6772,2161,4611
500128,Company_15,2021-01-29,2021-04-25,2021-10-30,12190,5975,6215
500129,Company_15,2021-07-12,2021-10-14,2022-03-23,5328,3111,2217
500130,Company_15,2023-11-29,2024-02-23,2024-07-10,10642,8395,2247
500131,Company_15,2020-07-21,2020-10-31,2020-12-02,22780,14439,8341
500132,Company_16,2022-01-04,2022-04-19,2022-08-12,10237,612,9625
500133,Company_16,2021-02-17,2021-05-24,2021-10-12,20958,14787,6171
500134,Company_16,2022-09-10,2022-12-11,2023-05-23,22962,6487,16475
500135,Company_16,2020-01-26,2020-03-21,2020-06-29,7432,3007,4425
500136,Company_16,2021-09-21,2021-11-30,2022-06-11,15728,9063,6665
500137,Company_16,2023-01-05,2023-02-04,2023-08-22,2621,948,1673
500138,Company_16,2021-07-09,2021-10-13,2022-02-19,1746,1740,6
500139,Company_16,2023-08-23,2023-10-11,2023-11-10,16403,15912,491
500140,Company_16,2022-04-22,2022-06-05,2022-09-08,19942,1200,18742
500141,Company_16,2023-11-15,2024-01-10,2024-02-08,5938,2102,3836
500142,Company_16,2022-02-04,2022-05-21,2022-05-27,15143,5551,9592
500143,Company_16,2020-08-13,2020-09-08,2020-12-04,12083,369,11714
500144,Company_16,2021-03-30,2021-07-26,2022-01-05,8091,5239,2852
500145,Company_16,2023-06-30,2023-08-13,2024-02-22,1923,699,1224
500146,Company_16,2021-05-26,2021-07-06,2021-08-04,16514,15779,735
500147,Company_16,2023-01-15,2023-04-01,2023-07-01,22084,16312,5772
500148,Company_17,2023-06-25,2023-09-27,2023-11-27,24071,22669,1402
500149,Company_17,2024-01-23,2024-04-17,2024-09-14,6943,3421,3522
500150,Company_17,2024-01-02,2024-03-18,2024-06-07,9509,7519,1990
500151,Company_17,2023-02-12,2023-05-22,2023-07-05,12407,11558,849
500152,Company_17,2020-02-26,2020-04-09,2020-05-12,10270,4687,5583
500153,Company_17,2024-01-24,2024-02-04,2024-03-17,2727,1738,989
500154,Company_17,2021-07-25,2021-08-06,2021-08-30,10071,61,10010
500155,Company_17,2022-01-02,2022-03-07,2022-07-23,15067,12414,2653
500156,Company_17,2021-04-22,2021-07-30,2021-08-18,11992,3521,8471
500157,Company_17,2020-10-17,2020-11-15,2021-04-04,20263,12641,7622
500158,Company_17,2021-04-06,2021-07-28,2021-10-02,21299,19214,2085
500159,Company_17,2022-12-19,2023-03-29,2023-04-25,23531,6319,17212
500160,Company_17,2021-11-21,2021-12-11,2022-01-23,10211,1614,8597
500161,Company_17,2022-04-24,2022-07-11,2022-12-25,8995,3819,5176
500162,Company_17,2021-06-27,2021-10-06,2021-12-06,14267,878,13389
500163,Company_18,2023-03-12,2023-05-26,2023-09-23,14197,1229,12968
500164,Company_18,2022-07-27,2022-10-17,2023-02-03,13490,8990,4500
500165,Company_18,2021-10-01,2021-11-14,2022-05-14,11039,7658,3381
500166,Company_18,2021-06-01,2021-08-09,2022-02-01,19786,12748,7038
500167,Company_19,2020-12-18,2021-01-29,2021-05-02,19811,9582,10229
500168,Company_19,2022-08-29,2022-11-09,2022-11-11,13124,198,12926
500169,Company_19,2020-11-01,2020-11-16,2021-05-16,21123,12337,8786
500170,Company_19,2023-07-10,2023-10-08,2023-12-23,808,462,346
500171,Company_19,2020-05-21,2020-08-03,2020-11-26,24838,51,24787
500172,Company_19,2023-04-01,2023-07-07,2023-12-15,24620,18142,6478
500173,Company_19,2023-09-17,2023-10-25,2024-01-14,11498,2992,8506
500174,Company_20,2023-10-29,2024-01-08,2024-04-25,20285,6206,14079
500175,Company_20,2023-03-12,2023-04-26,2023-06-13,20322,15145,5177
500176,Company_20,2021-01-06,2021-02-23,2021-07-28,18236,11315,6921
500177,Company_20,2020-08-19,2020-12-09,2021-01-05,24850,1343,23507
500178,Company_20,2022-07-25,2022-08-07,2022-11-08,10244,7661,2583
500179,Company_20,2023-04-18,2023-05-15,2023-05-30,21527,12245,9282
500180,Company_20,2024-01-24,2024-03-10,2024-04-15,17087,9463,7624
500181,Company_20,2022-10-06,2023-01-16,2023-07-26,17639,12273,5366
500182,Company_20,2021-05-12,2021-07-20,2021-12-08,818,446,372
500183,Company_20,2022-05-12,2022-08-03,2022-12-12,15974,13772,2202
500184,Company_20,2022-09-01,2022-10-22,2022-11-06,22652,13911,8741
500185,Company_20,2021-12-17,2022-04-01,2022-06-19,23741,4916,18825
500186,Company_20,2021-04-01,2021-06-23,2021-12-26,13020,12373,647
500187,Company_20,2020-02-19,2020-05-27,2020-12-08,15041,12908,2133
500188,Company_20,2023-12-19,2024-03-21,2024-06-19,22680,16365,6315
500189,Company_21,2022-04-18,2022-07-20,2022-12-18,10890,6834,4056
500190,Company_21,2020-10-02,2020-12-16,2021-02-25,4900,793,4107
500191,Company_21,2022-11-23,2023-02-04,2023-03-14,22362,349,22013
500192,Company_21,2020-01-25,2020-03-31,2020-08-14,15461,2945,12516
500193,Company_21,2023-04-28,2023-07-06,2023-11-30,19222,860,18362
500194,Company_21,2021-04-24,2021-08-10,2021-09-16,1277,621,656
500195,Company_21,2022-09-08,2022-10-04,2023-02-08,23117,1145,21972
500196,Company_21,2022-09-30,2022-12-15,2023-04-03,15405,4246,11159
500197,Company_21,2020-03-20,2020-05-05,2020-06-18,2919,668,2251
500198,Company_21,2023-04-11,2023-06-10,2023-09-16,18387,9665,8722
500199,Company_21,2021-02-19,2021-04-17,2021-09-11,18692,14859,3833
500200,Company_21,2021-06-25,2021-08-31,2021-10-03,4388,295,4093
500201,Company_21,2021-05-08,2021-08-22,2021-09-05,2969,674,2295
500202,Company_21,2020-01-11,2020-03-11,2020-09-24,11128,1577,9551
500203,Company_21,2022-12-26,2023-02-15,2023-04-26,8193,3665,4528
500204,Company_21,2022-05-05,2022-07-16,2022-08-14,23948,9102,14846
500205,Company_21,2020-05-02,2020-06-15,2020-10-12,24280,11579,12701
500206,Company_22,2023-03-12,2023-06-13,2023-06-17,15937,3608,12329
500207,Company_22,2021-10-31,2022-01-29,2022-04-29,20965,11530,9435
500208,Company_22,2020-08-10,2020-10-22,2021-03-18,12697,11810,887
500209,Company_22,2024-01-13,2024-04-01,2024-09-12,5434,876,4558
500210,Company_22,2022-03-09,2022-06-24,2022-11-21,21699,11826,9873
500211,Company_22,2022-08-07,2022-10-02,2022-11-23,14069,2504,11565
500212,Company_22,2021-10-01,2022-01-17,2022-06-24,24184,2651,21533
500213,Company_22,2020-11-30,2021-01-31,2021-04-10,4378,2302,2076
500214,Company_22,2020-10-22,2020-11-23,2021-04-04,17891,3857,14034
500215,Company_22,2020-04-13,2020-05-16,2020-06-10,5918,405,5513
500216,Company_23,2022-09-02,2022-12-29,2023-05-14,5335,2965,2370
500217,Company_23,2022-02-04,2022-04-06,2022-05-04,12539,3656,8883
500218,Company_23,2021-04-03,2021-05-27,2021-12-09,3383,376,3007
500219,Company_23,2021-03-01,2021-04-24,2021-05-06,4556,2512,2044
500220,Company_23,2022-04-20,2022-06-03,2022-07-30,8307,7949,358
500221,Company_23,2020-07-31,2020-09-22,2021-03-06,23441,22770,671
500222,Company_23,2022-10-21,2022-12-11,2023-02-21,11765,5367,6398
500223,Company_23,2021-07-31,2021-08-31,2021-09-30,21314,2375,18939
500224,Company_24,2021-12-21,2022-01-10,2022-02-17,5942,3469,2473
500225,Company_24,2024-01-26,2024-05-10,2024-10-25,13830,4588,9242
500226,Company_24,2023-05-15,2023-08-11,2024-02-07,8680,8298,382
500227,Company_24,2022-10-27,2022-12-28,2023-03-26,23194,3559,19635
500228,Company_24,2022-06-25,2022-10-02,2023-04-14,10936,4208,6728
500229,Company_24,2022-08-07,2022-09-29,2023-02-13,7430,5738,1692
500230,Company_24,2023-01-14,2023-05-12,2023-06-30,14994,13850,1144
500231,Company_24,2023-03-29,2023-04-16,2023-08-17,4346,606,3740
500232,Company_24,2020-06-30,2020-09-09,2020-10-02,20343,17922,2421
500233,Company_24,2022-03-08,2022-07-01,2022-09-20,14126,11282,2844
500234,Company_24,2021-04-28,2021-07-26,2021-07-27,1162,164,998
500235,Company_25,2023-01-15,2023-04-26,2023-05-11,7520,7074,446
500236,Company_25,2021-09-01,2021-10-18,2021-12-28,20406,19555,851
500237,Company_25,2022-01-26,2022-05-07,2022-06-07,7115,1604,5511
500238,Company_25,2020-07-18,2020-11-06,2020-11-22,1344,89,1255
500239,Company_25,2021-01-16,2021-02-28,2021-06-20,10869,7314,3555
500240,Company_25,2022-01-23,2022-03-29,2022-04-01,17056,5213,11843
500241,Company_25,2022-07-25,2022-10-31,2023-05-14,17936,2678,15258
500242,Company_25,2020-01-12,2020-04-06,2020-07-28,23241,6392,16849
500243,Company_25,2023-07-28,2023-09-02,2023-11-01,7413,3937,3476
500244,Company_25,2021-09-15,2021-12-28,2022-04-05,15872,6205,9667
500245,Company_25,2022-11-30,2023-03-04,2023-06-22,17491,1982,15509
500246,Company_25,2020-11-30,2020-12-27,2021-07-13,15035,5555,9480
500247,Company_25,2021-08-02,2021-10-02,2022-03-14,14217,12510,1707
500248,Company_26,2020-08-20,2020-09-22,2020-12-14,21916,6786,15130
500249,Company_26,2021-09-25,2021-12-12,2022-05-26,7615,6522,1093
500250,Company_26,2020-06-22,2020-09-28,2021-04-15,16843,7351,9492
500251,Company_26,2021-08-03,2021-09-21,2022-03-04,6784,3123,3661
500252,Company_27,2021-05-21,2021-06-20,2021-07-26,20823,6039,14784
500253,Company_27,2021-10-21,2022-01-02,2022-07-20,13313,8616,4697
500254,Company_27,2023-10-13,2023-12-24,2024-05-22,13081,5211,7870
500255,Company_27,2021-09-21,2021-12-29,2022-05-24,21090,1006,20084
500256,Company_27,2021-09-25,2021-11-01,2022-01-20,18360,8259,10101
500257,Company_27,2020-09-21,2020-10-02,2021-02-22,1771,949,822
500258,Company_27,2023-12-30,2024-02-12,2024-07-05,7798,516,7282
500259,Company_27,2020-12-31,2021-02-19,2021-04-29,2338,1229,1109
500260,Company_28,2022-08-13,2022-09-14,2022-11-21,1696,193,1503
500261,Company_28,2022-12-09,2023-01-30,2023-03-07,2331,1272,1059
500262,Company_28,2023-01-18,2023-03-14,2023-07-05,15076,10737,4339
500263,Company_28,2022-07-14,2022-09-15,2022-10-09,17276,3908,13368
500264,Company_28,2022-10-06,2022-11-10,2022-12-24,1028,690,338
500265,Company_28,2023-08-31,2023-09-15,2024-02-19,11364,6157,5207
500266,Company_28,2020-10-03,2020-11-14,2020-12-13,14779,12560,2219
500267,Company_28,2023-05-18,2023-09-07,2024-03-20,18747,3326,15421
500268,Company_28,2022-04-21,2022-05-25,2022-06-03,7725,4220,3505
500269,Company_28,2023-04-23,2023-06-28,2023-12-29,7284,4858,2426
500270,Company_28,2021-08-06,2021-10-05,2022-01-17,1906,409,1497
500271,Company_28,2022-09-03,2022-09-27,2022-10-21,9242,3587,5655
500272,Company_28,2023-11-29,2024-02-18,2024-07-25,13014,11945,1069
500273,Company_28,2020-02-22,2020-04-28,2020-09-17,9441,7752,1689
500274,Company_29,2023-07-09,2023-10-16,2023-12-30,2412,988,1424
500275,Company_29,2020-02-01,2020-05-26,2020-07-27,14179,9343,4836
500276,Company_29,2021-04-14,2021-04-25,2021-04-28,23089,22648,441
500277,Company_29,2021-11-25,2022-02-02,2022-02-14,16001,7342,8659
500278,Company_29,2021-06-16,2021-06-26,2021-10-16,7471,4668,2803
500279,Company_29,2021-01-21,2021-02-07,2021-03-08,9308,6141,3167
500280,Company_29,2022-08-27,2022-11-06,2023-02-21,15247,4721,10526
500281,Company_29,2023-07-20,2023-08-06,2023-11-25,22051,10458,11593
500282,Company_29,2020-03-13,2020-05-29,2020-07-03,18721,9608,9113
500283,Company_30,2024-01-02,2024-02-24,2024-06-29,9962,191,9771
500284,Company_30,2023-02-05,2023-06-04,2023-07-01,22946,16817,6129
500285,Company_30,2022-04-13,2022-06-25,2022-09-06,17795,13225,4570
500286,Company_31,2023-04-22,2023-05-03,2023-10-12,23374,22572,802
500287,Company_31,2023-10-17,2024-02-12,2024-07-09,7057,1234,5823
500288,Company_31,2023-07-17,2023-09-08,2023-11-02,15070,15039,31
500289,Company_31,2021-10-31,2021-12-30,2022-02-19,7525,6044,1481
500290,Company_31,2022-07-30,2022-08-18,2023-02-04,20444,2116,18328
500291,Company_31,2020-07-04,2020-10-20,2020-11-24,10244,630,9614
500292,Company_31,2022-01-30,2022-03-08,2022-08-12,10771,4225,6546
500293,Company_31,2022-03-29,2022-06-21,2022-08-24,24054,4866,19188
500294,Company_31,2023-05-24,2023-08-26,2024-03-11,15862,8933,6929
500295,Company_31,2023-03-28,2023-04-22,2023-11-06,22856,15131,7725
500296,Company_31,2022-09-14,2022-11-06,2023-03-21,4788,722,4066
500297,Company_31,2022-07-13,2022-10-27,2023-03-05,22082,15706,6376
500298,Company_31,2021-09-23,2021-10-08,2021-11-14,17330,781,16549
500299,Company_31,2021-08-16,2021-12-12,2022-06-22,2261,1894,367
500300,Company_31,2023-05-07,2023-07-17,2024-01-16,22785,11568,11217
500301,Company_31,2023-02-11,2023-03-15,2023-09-03,12384,6843,5541
500302,Company_31,2022-09-27,2022-11-22,2023-05-11,19173,3577,15596
500303,Company_31,2022-05-16,2022-08-02,2022-09-23,19008,16989,2019
500304,Company_32,2021-09-23,2021-11-24,2022-03-29,17765,16288,1477
500305,Company_32,2022-04-13,2022-05-30,2022-06-03,11353,6972,4381
500306,Company_32,2020-12-26,2021-04-10,2021-07-05,8482,1105,7377
500307,Company_32,2023-01-22,2023-02-23,2023-06-02,17425,11644,5781
500308,Company_32,2020-10-06,2020-12-29,2021-07-09,24901,12237,12664
500309,Company_32,2020-09-07,2020-12-11,2021-02-21,4003,2228,1775
500310,Company_32,2022-12-03,2023-01-24,2023-06-19,8750,4482,4268
500311,Company_32,2022-05-21,2022-05-31,2022-11-04,21518,11264,10254
500312,Company_32,2022-05-27,2022-09-20,2022-09-22,9673,6997,2676
500313,Company_32,2022-02-17,2022-03-22,2022-05-31,9578,2767,6811
500314,Company_33,2021-03-14,2021-06-05,2021-12-13,21841,5568,16273
500315,Company_33,2023-03-13,2023-03-31,2023-04-17,24112,19724,4388
500316,Company_34,2020-05-21,2020-09-02,2021-01-07,19333,2444,16889
500317,Company_34,2022-05-22,2022-07-09,2022-09-20,13327,10746,2581
500318,Company_34,2022-06-07,2022-08-09,2023-01-19,16889,15491,1398
500319,Company_34,2021-01-02,2021-03-06,2021-08-08,1075,964,111
500320,Company_34,2021-01-20,2021-03-29,2021-10-07,22339,6841,15498
500321,Company_34,2022-03-23,2022-05-02,2022-10-10,16128,12010,4118
500322,Company_34,2020-11-19,2021-02-17,2021-06-27,3833,1757,2076
500323,Company_34,2022-12-17,2023-02-23,2023-03-03,22893,21789,1104
500324,Company_34,2022-08-07,2022-09-07,2023-02-28,17434,1440,15994
500325,Company_34,2021-06-14,2021-09-10,2021-09-20,22926,11482,11444
500326,Company_34,2023-11-30,2024-03-28,2024-05-24,23233,4103,19130
500327,Company_34,2021-10-04,2021-12-25,2022-01-23,22300,18284,4016
500328,Company_34,2022-07-02,2022-10-25,2023-01-09,7893,1974,5919
500329,Company_34,2020-10-26,2021-01-08,2021-02-21,12722,10368,2354
500330,Company_35,2020-03-10,2020-06-16,2020-07-25,20973,13212,7761
500331,Company_35,2022-04-24,2022-05-19,2022-10-30,16286,1364,14922
500332,Company_35,2023-02-01,2023-03-21,2023-08-25,5141,2840,2301
500333,Company_36,2023-01-20,2023-03-28,2023-05-07,14473,5384,9089
500334,Company_36,2022-05-03,2022-05-20,2022-06-12,17146,10378,6768
500335,Company_36,2022-07-25,2022-10-04,2023-02-27,19053,10828,8225
500336,Company_36,2020-08-06,2020-10-16,2020-12-26,5646,2307,3339
500337,Company_36,2021-08-08,2021-10-25,2022-03-05,19852,17238,2614
500338,Company_36,2021-03-31,2021-04-24,2021-09-30,5461,4888,573
500339,Company_36,2021-12-06,2022-01-09,2022-06-10,3861,2490,1371
500340,Company_36,2020-02-07,2020-06-02,2020-06-17,15699,12889,2810
500341,Company_36,2023-01-21,2023-02-03,2023-05-14,12808,8791,4017
500342,Company_36,2020-12-01,2020-12-22,2021-06-26,19003,12731,6272
500343,Company_36,2020-01-19,2020-03-18,2020-04-13,14022,13218,804
500344,Company_36,2020-02-12,2020-03-20,2020-10-02,9513,351,9162
500345,Company_36,2020-03-26,2020-04-26,2020-10-09,24877,7233,17644
500346,Company_36,2023-03-23,2023-05-19,2023-09-07,7336,5137,2199
500347,Company_36,2023-10-06,2023-12-08,2024-01-12,17339,13586,3753
500348,Company_37,2021-10-31,2021-12-05,2022-04-04,20747,2537,18210
500349,Company_37,2023-12-31,2024-02-04,2024-07-19,16776,5785,10991
500350,Company_37,2020-11-15,2021-03-06,2021-03-06,19384,18528,856
500351,Company_37,2023-02-04,2023-02-27,2023-05-09,5098,2399,2699
500352,Company_37,2022-02-10,2022-04-02,2022-10-13,20171,15477,4694
500353,Company_37,2020-02-17,2020-05-04,2020-06-28,19189,4733,14456
500354,Company_37,2022-12-11,2023-01-06,2023-02-05,24712,6513,18199
500355,Company_37,2022-09-29,2023-01-01,2023-05-06,22591,3301,19290
500356,Company_37,2023-05-11,2023-08-09,2023-09-25,15046,8576,6470
500357,Company_37,2022-04-14,2022-07-17,2022-08-06,13331,9588,3743
500358,Company_37,2023-12-06,2024-03-04,2024-03-17,24890,18315,6575
500359,Company_37,2020-09-07,2020-10-02,2020-12-10,5230,429,4801
500360,Company_37,2022-04-08,2022-06-12,2022-07-07,7815,2449,5366
500361,Company_38,2021-05-28,2021-09-17,2022-02-15,13391,9669,3722
500362,Company_38,2023-01-13,2023-03-11,2023-06-17,24489,9660,14829
500363,Company_38,2022-10-04,2023-01-10,2023-05-07,10567,10394,173
500364,Company_38,2022-03-07,2022-04-10,2022-05-09,8358,1549,6809
500365,Company_38,2022-01-16,2022-04-16,2022-08-31,7025,6320,705
500366,Company_38,2020-04-20,2020-07-17,2020-11-22,1261,74,1187
500367,Company_38,2023-02-28,2023-03-22,2023-05-22,13967,6111,7856
500368,Company_38,2022-06-29,2022-08-12,2023-02-04,14599,566,14033
